time_step,class,pixels,percentage,specification
35,total_new_landuse_restricted_areas_on_former_forest,877,0.21,percentage of restricted area
36,restricted_area,414987,24.72,percentage of landscape
36,total_landuse_restricted_areas,65361,15.75,percentage of restricted area
36,total_new_landuse_restricted_areas,989,0.24,percentage of restricted area
36,total_new_landuse_restricted_areas_on_former_forest,858,0.21,percentage of restricted area
37,restricted_area,414987,24.72,percentage of landscape
37,total_landuse_restricted_areas,65596,15.81,percentage of restricted area
37,total_new_landuse_restricted_areas,264,0.06,percentage of restricted area
37,total_new_landuse_restricted_areas_on_former_forest,207,0.05,percentage of restricted area
38,restricted_area,414987,24.72,percentage of landscape
38,total_landuse_restricted_areas,65851,15.87,percentage of restricted area
38,total_new_landuse_restricted_areas,281,0.07,percentage of restricted area
38,total_new_landuse_restricted_areas_on_former_forest,224,0.05,percentage of restricted area
39,restricted_area,414987,24.72,percentage of landscape
39,total_landuse_restricted_areas,66118,15.93,percentage of restricted area
39,total_new_landuse_restricted_areas,288,0.07,percentage of restricted area
39,total_new_landuse_restricted_areas_on_former_forest,238,0.06,percentage of restricted area
40,restricted_area,414987,24.72,percentage of landscape
40,total_landuse_restricted_areas,66388,16.0,percentage of restricted area
40,total_new_landuse_restricted_areas,295,0.07,percentage of restricted area
40,total_new_landuse_restricted_areas_on_former_forest,252,0.06,percentage of restricted area
41,restricted_area,414987,24.72,percentage of landscape
41,total_landuse_restricted_areas,66621,16.05,percentage of restricted area
41,total_new_landuse_restricted_areas,276,0.07,percentage of restricted area
41,total_new_landuse_restricted_areas_on_former_forest,234,0.06,percentage of restricted area
42,restricted_area,414987,24.72,percentage of landscape
42,total_landuse_restricted_areas,66854,16.11,percentage of restricted area
42,total_new_landuse_restricted_areas,270,0.07,percentage of restricted area
42,total_new_landuse_restricted_areas_on_former_forest,232,0.06,percentage of restricted area
43,restricted_area,414987,24.72,percentage of landscape
43,total_landuse_restricted_areas,67113,16.17,percentage of restricted area
43,total_new_landuse_restricted_areas,296,0.07,percentage of restricted area
43,total_new_landuse_restricted_areas_on_former_forest,263,0.06,percentage of restricted area
44,restricted_area,414987,24.72,percentage of landscape
44,total_landuse_restricted_areas,67361,16.23,percentage of restricted area
44,total_new_landuse_restricted_areas,298,0.07,percentage of restricted area
44,total_new_landuse_restricted_areas_on_former_forest,266,0.06,percentage of restricted area
45,restricted_area,414987,24.72,percentage of landscape
45,total_landuse_restricted_areas,67615,16.29,percentage of restricted area
45,total_new_landuse_restricted_areas,296,0.07,percentage of restricted area
45,total_new_landuse_restricted_areas_on_former_forest,262,0.06,percentage of restricted area
46,restricted_area,414987,24.72,percentage of landscape
46,total_landuse_restricted_areas,67848,16.35,percentage of restricted area
46,total_new_landuse_restricted_areas,284,0.07,percentage of restricted area
46,total_new_landuse_restricted_areas_on_former_forest,250,0.06,percentage of restricted area
47,restricted_area,414987,24.72,percentage of landscape
47,total_landuse_restricted_areas,68315,16.46,percentage of restricted area
47,total_new_landuse_restricted_areas,520,0.13,percentage of restricted area
47,total_new_landuse_restricted_areas_on_former_forest,472,0.11,percentage of restricted area
48,restricted_area,414987,24.72,percentage of landscape
48,total_landuse_restricted_areas,68762,16.57,percentage of restricted area
48,total_new_landuse_restricted_areas,511,0.12,percentage of restricted area
48,total_new_landuse_restricted_areas_on_former_forest,451,0.11,percentage of restricted area
49,restricted_area,414987,24.72,percentage of landscape
49,total_landuse_restricted_areas,69188,16.67,percentage of restricted area
49,total_new_landuse_restricted_areas,535,0.13,percentage of restricted area
49,total_new_landuse_restricted_areas_on_former_forest,499,0.12,percentage of restricted area
50,restricted_area,414987,24.72,percentage of landscape
50,total_landuse_restricted_areas,69691,16.79,percentage of restricted area
50,total_new_landuse_restricted_areas,580,0.14,percentage of restricted area
50,total_new_landuse_restricted_areas_on_former_forest,528,0.13,percentage of restricted area
51,restricted_area,414987,24.72,percentage of landscape
51,total_landuse_restricted_areas,70081,16.89,percentage of restricted area
51,total_new_landuse_restricted_areas,523,0.13,percentage of restricted area
51,total_new_landuse_restricted_areas_on_former_forest,484,0.12,percentage of restricted area
52,restricted_area,414987,24.72,percentage of landscape
52,total_landuse_restricted_areas,70446,16.98,percentage of restricted area
52,total_new_landuse_restricted_areas,471,0.11,percentage of restricted area
52,total_new_landuse_restricted_areas_on_former_forest,425,0.1,percentage of restricted area
53,restricted_area,414987,24.72,percentage of landscape
53,total_landuse_restricted_areas,70830,17.07,percentage of restricted area
53,total_new_landuse_restricted_areas,493,0.12,percentage of restricted area
53,total_new_landuse_restricted_areas_on_former_forest,457,0.11,percentage of restricted area
54,restricted_area,414987,24.72,percentage of landscape
54,total_landuse_restricted_areas,71270,17.17,percentage of restricted area
54,total_new_landuse_restricted_areas,539,0.13,percentage of restricted area
54,total_new_landuse_restricted_areas_on_former_forest,503,0.12,percentage of restricted area
55,restricted_area,414987,24.72,percentage of landscape
55,total_landuse_restricted_areas,71725,17.28,percentage of restricted area
55,total_new_landuse_restricted_areas,546,0.13,percentage of restricted area
55,total_new_landuse_restricted_areas_on_former_forest,501,0.12,percentage of restricted area
56,restricted_area,414987,24.72,percentage of landscape
56,total_landuse_restricted_areas,72193,17.4,percentage of restricted area
56,total_new_landuse_restricted_areas,563,0.14,percentage of restricted area
56,total_new_landuse_restricted_areas_on_former_forest,516,0.12,percentage of restricted area
57,restricted_area,414987,24.72,percentage of landscape
57,total_landuse_restricted_areas,72884,17.56,percentage of restricted area
57,total_new_landuse_restricted_areas,816,0.2,percentage of restricted area
57,total_new_landuse_restricted_areas_on_former_forest,743,0.18,percentage of restricted area
58,restricted_area,414987,24.72,percentage of landscape
58,total_landuse_restricted_areas,73615,17.74,percentage of restricted area
58,total_new_landuse_restricted_areas,837,0.2,percentage of restricted area
58,total_new_landuse_restricted_areas_on_former_forest,516,0.12,percentage of restricted area
59,restricted_area,414987,24.72,percentage of landscape
59,total_landuse_restricted_areas,74337,17.91,percentage of restricted area
59,total_new_landuse_restricted_areas,829,0.2,percentage of restricted area
59,total_new_landuse_restricted_areas_on_former_forest,514,0.12,percentage of restricted area
60,restricted_area,414987,24.72,percentage of landscape
60,total_landuse_restricted_areas,75150,18.11,percentage of restricted area
60,total_new_landuse_restricted_areas,946,0.23,percentage of restricted area
60,total_new_landuse_restricted_areas_on_former_forest,568,0.14,percentage of restricted area
61,restricted_area,414987,24.72,percentage of landscape
61,total_landuse_restricted_areas,76033,18.32,percentage of restricted area
61,total_new_landuse_restricted_areas,1012,0.24,percentage of restricted area
61,total_new_landuse_restricted_areas_on_former_forest,606,0.15,percentage of restricted area
62,restricted_area,414987,24.72,percentage of landscape
62,total_landuse_restricted_areas,76948,18.54,percentage of restricted area
62,total_new_landuse_restricted_areas,1057,0.25,percentage of restricted area
62,total_new_landuse_restricted_areas_on_former_forest,643,0.15,percentage of restricted area
63,restricted_area,414987,24.72,percentage of landscape
63,total_landuse_restricted_areas,77822,18.75,percentage of restricted area
63,total_new_landuse_restricted_areas,1027,0.25,percentage of restricted area
63,total_new_landuse_restricted_areas_on_former_forest,618,0.15,percentage of restricted area
64,restricted_area,414987,24.72,percentage of landscape
64,total_landuse_restricted_areas,78868,19.0,percentage of restricted area
64,total_new_landuse_restricted_areas,1217,0.29,percentage of restricted area
64,total_new_landuse_restricted_areas_on_former_forest,720,0.17,percentage of restricted area
65,restricted_area,414987,24.72,percentage of landscape
65,total_landuse_restricted_areas,79938,19.26,percentage of restricted area
65,total_new_landuse_restricted_areas,1208,0.29,percentage of restricted area
65,total_new_landuse_restricted_areas_on_former_forest,719,0.17,percentage of restricted area
66,restricted_area,414987,24.72,percentage of landscape
66,total_landuse_restricted_areas,81006,19.52,percentage of restricted area
66,total_new_landuse_restricted_areas,1234,0.3,percentage of restricted area
66,total_new_landuse_restricted_areas_on_former_forest,769,0.19,percentage of restricted area
67,restricted_area,414987,24.72,percentage of landscape
67,total_landuse_restricted_areas,82357,19.85,percentage of restricted area
67,total_new_landuse_restricted_areas,1548,0.37,percentage of restricted area
67,total_new_landuse_restricted_areas_on_former_forest,920,0.22,percentage of restricted area
68,restricted_area,414987,24.72,percentage of landscape
68,total_landuse_restricted_areas,83717,20.17,percentage of restricted area
68,total_new_landuse_restricted_areas,1586,0.38,percentage of restricted area
68,total_new_landuse_restricted_areas_on_former_forest,993,0.24,percentage of restricted area
69,restricted_area,414987,24.72,percentage of landscape
69,total_landuse_restricted_areas,85168,20.52,percentage of restricted area
69,total_new_landuse_restricted_areas,1669,0.4,percentage of restricted area
69,total_new_landuse_restricted_areas_on_former_forest,1030,0.25,percentage of restricted area
70,restricted_area,414987,24.72,percentage of landscape
70,total_landuse_restricted_areas,86553,20.86,percentage of restricted area
70,total_new_landuse_restricted_areas,1614,0.39,percentage of restricted area
70,total_new_landuse_restricted_areas_on_former_forest,987,0.24,percentage of restricted area
71,restricted_area,414987,24.72,percentage of landscape
71,total_landuse_restricted_areas,87954,21.19,percentage of restricted area
71,total_new_landuse_restricted_areas,1634,0.39,percentage of restricted area
71,total_new_landuse_restricted_areas_on_former_forest,1041,0.25,percentage of restricted area
72,restricted_area,414987,24.72,percentage of landscape
72,total_landuse_restricted_areas,89438,21.55,percentage of restricted area
72,total_new_landuse_restricted_areas,1728,0.42,percentage of restricted area
72,total_new_landuse_restricted_areas_on_former_forest,1132,0.27,percentage of restricted area
73,restricted_area,414987,24.72,percentage of landscape
73,total_landuse_restricted_areas,90980,21.92,percentage of restricted area
73,total_new_landuse_restricted_areas,1825,0.44,percentage of restricted area
73,total_new_landuse_restricted_areas_on_former_forest,1234,0.3,percentage of restricted area
74,restricted_area,414987,24.72,percentage of landscape
74,total_landuse_restricted_areas,92364,22.26,percentage of restricted area
74,total_new_landuse_restricted_areas,1690,0.41,percentage of restricted area
74,total_new_landuse_restricted_areas_on_former_forest,1230,0.3,percentage of restricted area
75,restricted_area,414987,24.72,percentage of landscape
75,total_landuse_restricted_areas,93727,22.59,percentage of restricted area
75,total_new_landuse_restricted_areas,1651,0.4,percentage of restricted area
75,total_new_landuse_restricted_areas_on_former_forest,1223,0.29,percentage of restricted area
76,restricted_area,414987,24.72,percentage of landscape
76,total_landuse_restricted_areas,95229,22.95,percentage of restricted area
76,total_new_landuse_restricted_areas,1757,0.42,percentage of restricted area
76,total_new_landuse_restricted_areas_on_former_forest,1296,0.31,percentage of restricted area
